,Year,Month,value
310,1990,11,37
311,1990,12,53
312,1991,1,42
313,1991,2,31
314,1991,3,32
315,1991,4,44
316,1991,5,33
317,1991,6,36
318,1991,7,33
319,1991,8,36
320,1991,9,22
321,1991,10,34
322,1991,11,31
323,1991,12,54
324,1992,1,19
325,1992,2,32
326,1992,3,39
327,1992,4,49
328,1992,5,55
329,1992,6,52
330,1992,7,51
331,1992,8,42
332,1992,9,54
333,1992,10,51
334,1992,11,42
335,1992,12,46
336,1993,1,37
337,1993,2,27
338,1993,3,42
339,1993,4,28
340,1993,5,52
341,1993,6,39
342,1993,7,36
343,1993,8,42
344,1993,9,60
345,1993,10,38
346,1993,11,33
347,1993,12,31
348,1994,1,32
349,1994,2,52
350,1994,3,24
351,1994,4,43
352,1994,5,51
353,1994,6,46
354,1994,7,42
355,1994,8,48
356,1994,9,38
357,1994,10,60
358,1994,11,28
359,1994,12,42
360,1995,1,48
361,1995,2,47
362,1995,3,35
363,1995,4,54
364,1995,5,63
365,1995,6,38
366,1995,7,48
367,1995,8,63
368,1995,9,37
369,1995,10,57
370,1995,11,39
371,1995,12,60
372,1996,1,32
373,1996,2,57
374,1996,3,53
375,1996,4,33
376,1996,5,29
377,1996,6,51
378,1996,7,33
379,1996,8,50
380,1996,9,61
381,1996,10,47
382,1996,11,55
383,1996,12,39
384,1997,1,23
385,1997,2,25
386,1997,3,38
387,1997,4,56
388,1997,5,44
389,1997,6,27
390,1997,7,31
391,1997,8,31
392,1997,9,36
393,1997,10,44
394,1997,11,46
395,1997,12,55
396,1998,1,45
397,1998,2,27
398,1998,3,31
399,1998,4,30
400,1998,5,39
401,1998,6,24
402,1998,7,31
403,1998,8,31
404,1998,9,38
405,1998,10,32
406,1998,11,36
407,1998,12,24
408,1999,1,33
409,1999,2,32
410,1999,3,41
411,1999,4,30
412,1999,5,38
413,1999,6,26
414,1999,7,34
415,1999,8,40
416,1999,9,36
417,1999,10,34
418,1999,11,44
419,1999,12,58
420,2000,1,52
421,2000,2,30
422,2000,3,30
423,2000,4,32
424,2000,5,31
425,2000,6,58
426,2000,7,48
427,2000,8,47
428,2000,9,37
429,2000,10,56
430,2000,11,83
431,2000,12,49
432,2001,1,55
433,2001,2,45
434,2001,3,29
435,2001,4,36
436,2001,5,28
437,2001,6,47
438,2001,7,37
439,2001,8,33
440,2001,9,33
441,2001,10,40
442,2001,11,26
443,2001,12,34
444,2002,1,46
445,2002,2,28
446,2002,3,43
447,2002,4,31
448,2002,5,32
449,2002,6,39
450,2002,7,23
451,2002,8,39
452,2002,9,44
453,2002,10,46
454,2002,11,37
455,2002,12,36
456,2003,1,35
457,2003,2,28
458,2003,3,41
459,2003,4,31
460,2003,5,43
461,2003,6,31
462,2003,7,50
463,2003,8,44
464,2003,9,59
465,2003,10,36
466,2003,11,43
467,2003,12,44
468,2004,1,50
469,2004,2,34
470,2004,3,42
471,2004,4,48
472,2004,5,38
473,2004,6,28
474,2004,7,37
475,2004,8,31
476,2004,9,47
477,2004,10,50
478,2004,11,54
479,2004,12,75
480,2005,1,82
481,2005,2,50
482,2005,3,52
483,2005,4,47
484,2005,5,29
485,2005,6,40
486,2005,7,41
487,2005,8,37
488,2005,9,37
489,2005,10,48
490,2005,11,38
491,2005,12,32
492,2006,1,31
493,2006,2,30
494,2006,3,45
495,2006,4,50
496,2006,5,48
497,2006,6,30
498,2006,7,55
499,2006,8,34
500,2006,9,36
501,2006,10,41
502,2006,11,65
503,2006,12,43
504,2007,1,49
505,2007,2,41
506,2007,3,50
507,2007,4,81
508,2007,5,44
509,2007,6,35
510,2007,7,44
511,2007,8,58
512,2007,9,64
513,2007,10,38
514,2007,11,57
515,2007,12,47
516,2008,1,38
517,2008,2,40
518,2008,3,40
519,2008,4,49
520,2008,5,46
521,2008,6,41
522,2008,7,38
523,2008,8,46
524,2008,9,39
525,2008,10,43
526,2008,11,49
527,2008,12,39
528,2009,1,49
529,2009,2,42
530,2009,3,32
531,2009,4,40
532,2009,5,32
533,2009,6,32
534,2009,7,35
535,2009,8,48
536,2009,9,44
537,2009,10,82
538,2009,11,40
539,2009,12,41
540,2010,1,57
541,2010,2,75
542,2010,3,61
543,2010,4,38
544,2010,5,36
545,2010,6,37
546,2010,7,48
547,2010,8,43
548,2010,9,43
549,2010,10,38
550,2010,11,34
551,2010,12,49
552,2011,1,42
553,2011,2,41
554,2011,3,63
555,2011,4,52
556,2011,5,48
557,2011,6,43
558,2011,7,63
559,2011,8,51
560,2011,9,40
561,2011,10,37
562,2011,11,40
563,2011,12,28
564,2012,1,31
565,2012,2,38
566,2012,3,33
567,2012,4,58
568,2012,5,33
569,2012,6,37
570,2012,7,34
571,2012,8,38
572,2012,9,31
573,2012,10,40
574,2012,11,41
575,2012,12,31
576,2013,1,23
577,2013,2,82
578,2013,3,28
579,2013,4,41
580,2013,5,44
581,2013,6,30
582,2013,7,36
583,2013,8,33
584,2013,9,39
585,2013,10,32
586,2013,11,43
587,2013,12,30
588,2014,1,24
589,2014,2,29
590,2014,3,50
591,2014,4,68
592,2014,5,56
593,2014,6,44
594,2014,7,41
595,2014,8,34
596,2014,9,31
597,2014,10,34
598,2014,11,37
599,2014,12,32
600,2015,1,25
601,2015,2,33
602,2015,3,35
603,2015,4,30
604,2015,5,46
605,2015,6,31
606,2015,7,40
