,0
721,-1
722,80
723,80
724,686
725,231
726,-1
727,151
728,-1
729,-1
730,214
731,214
732,678
733,746
734,658
735,735
736,666
737,-1
738,631
739,85
740,448
741,-1
742,592
743,-1
744,-1
745,175
746,86
747,581
748,98
749,-1
750,-1
751,-1
752,797
753,195
754,-1
755,195
756,621
757,-1
758,-1
759,-1
760,698
761,217
762,704
763,704
764,704
765,704
766,84
767,704
768,-1
769,434
770,704
771,-1
772,480
773,480
774,480
775,479
776,6
777,-1
778,-1
779,-1
780,-1
781,-1
782,-1
783,-1
784,84
785,721
786,-1
787,-1
788,130
789,105
790,-1
791,306
792,-1
793,200
794,226
795,-1
796,-1
797,-1
798,-1
799,14
800,479
801,61
802,292
803,-1
804,292
805,-1
806,492
807,9
808,243
809,693
810,-1
811,-1
812,-1
813,-1
814,-1
815,200
816,-1
817,404
818,34
819,200
820,-1
821,200
822,844
823,-1
824,147
825,78
826,716
827,716
828,547
829,-1
830,-1
831,-1
832,-1
833,-1
834,-1
835,563
836,-1
837,-1
838,-1
839,-1
840,-1
841,-1
842,-1
843,-1
844,-1
845,723
846,124
847,-1
848,-1
849,510
850,196
851,-1
852,724
853,511
854,666
855,194
856,-1
857,204
858,204
859,128
860,341
861,529
862,479
863,89
864,89
865,-1
866,-1
867,-1
868,376
869,213
870,213
871,701
872,643
873,594
874,498
875,535
876,-1
877,-1
878,456
879,124
880,191
881,-1
882,191
883,552
884,-1
885,790
886,-1
887,245
888,-1
889,130
890,-1
891,433
892,128
893,80
894,845
895,-1
896,450
897,450
898,-1
899,84
900,-1
901,-1
902,778
903,-1
904,690
905,810
906,683
907,562
908,597
909,722
910,-1
911,450
912,17
913,673
914,-1
915,764
916,26
917,-1
918,-1
919,-1
920,-1
921,641
922,-1
923,-1
924,-1
925,-1
926,-1
927,265
928,71
929,721
930,346
931,-1
932,-1
933,648
934,237
935,587
936,765
937,44
938,105
939,-1
940,-1
941,74
942,738
943,-1
944,-1
945,169
946,-1
947,204
948,-1
949,-1
950,-1
951,163
952,637
953,332
954,226
955,-1
956,140
957,-1
958,-1
959,71
960,266
961,-1
962,643
963,51
964,399
965,-1
966,55
967,817
968,-1
969,549
970,55
971,-1
972,-1
973,340
974,-1
975,-1
976,-1
977,244
978,396
979,318
980,-1
981,-1
982,-1
983,-1
984,-1
985,478
986,-1
987,-1
988,-1
989,-1
990,-1
991,-1
992,-1
993,-1
994,485
995,-1
996,198
997,707
998,152
999,45
1000,228
1001,-1
1002,332
1003,-1
1004,241
1005,-1
1006,-1
1007,149
1008,-1
1009,238
1010,239
1011,250
1012,250
1013,250
1014,-1
1015,332
1016,808
1017,-1
1018,-1
1019,-1
1020,238
1021,-1
1022,149
1023,252
1024,-1
1025,256
1026,250
1027,-1
1028,251
1029,252
1030,149
1031,256
1032,252
1033,-1
1034,-1
1035,651
1036,-1
1037,-1
1038,-1
1039,237
1040,517
1041,817
1042,-1
1043,-1
1044,418
1045,418
1046,-1
1047,-1
1048,110
1049,-1
1050,-1
1051,-1
1052,-1
1053,217
1054,484
1055,400
1056,193
1057,193
1058,193
1059,-1
1060,-1
1061,-1
1062,425
1063,707
1064,-1
1065,-1
1066,-1
1067,180
1068,-1
1069,-1
1070,-1
1071,-1
1072,326
1073,-1
1074,-1
1075,586
1076,241
1077,309
1078,178
1079,524
1080,16
1081,-1
1082,16
1083,16
1084,16
1085,238
1086,142
1087,815
1088,750
1089,487
1090,-1
1091,-1
1092,276
1093,276
1094,150
1095,102
1096,127
1097,216
1098,-1
1099,-1
1100,-1
1101,585
1102,-1
1103,-1
1104,206
1105,321
1106,-1
1107,131
1108,131
1109,131
1110,131
1111,-1
1112,-1
1113,-1
1114,324
1115,721
1116,158
1117,229
1118,-1
1119,233
1120,233
1121,-1
1122,-1
1123,-1
1124,-1
1125,229
1126,-1
1127,233
1128,22
1129,-1
1130,-1
1131,616
1132,655
1133,-1
1134,-1
1135,-1
1136,-1
1137,594
1138,32
1139,-1
1140,-1
1141,212
1142,32
1143,341
1144,-1
1145,459
1146,-1
1147,154
1148,-1
1149,-1
1150,76
1151,-1
1152,404
1153,-1
1154,194
1155,497
1156,-1
1157,460
1158,-1
1159,620
1160,-1
1161,367
1162,368
1163,284
1164,677
1165,-1
1166,-1
1167,655
1168,-1
1169,-1
1170,-1
1171,766
1172,342
1173,-1
1174,-1
1175,494
1176,746
1177,-1
1178,-1
1179,542
1180,501
1181,-1
1182,-1
1183,-1
1184,-1
1185,-1
1186,-1
1187,-1
1188,233
1189,-1
1190,-1
1191,-1
1192,729
1193,-1
1194,213
1195,-1
1196,0
1197,486
1198,55
1199,-1
1200,-1
1201,-1
1202,-1
1203,-1
1204,-1
1205,-1
1206,111
1207,203
1208,28
1209,28
1210,-1
1211,-1
1212,-1
1213,-1
1214,203
1215,-1
1216,263
1217,-1
1218,264
1219,264
1220,264
1221,386
1222,402
1223,725
1224,203
1225,-1
1226,-1
1227,190
1228,-1
1229,403
1230,-1
1231,216
1232,275
1233,-1
1234,694
1235,681
1236,295
1237,-1
1238,-1
1239,-1
1240,-1
1241,-1
1242,-1
1243,-1
1244,386
1245,-1
1246,-1
1247,105
1248,182
1249,-1
1250,453
1251,453
1252,318
1253,-1
1254,735
1255,-1
1256,-1
1257,-1
1258,143
1259,74
1260,293
1261,-1
1262,-1
1263,13
1264,720
1265,-1
1266,554
1267,711
1268,683
1269,-1
1270,-1
1271,683
1272,339
1273,400
1274,-1
1275,-1
1276,484
1277,483
1278,482
1279,483
1280,33
1281,-1
1282,-1
1283,490
1284,483
1285,483
1286,483
1287,666
1288,92
1289,-1
1290,-1
1291,481
1292,-1
1293,92
1294,-1
1295,339
1296,341
1297,-1
1298,-1
1299,127
1300,301
1301,483
1302,-1
1303,632
1304,839
1305,264
1306,264
1307,585
1308,585
1309,136
1310,-1
1311,257
1312,-1
1313,733
1314,278
1315,-1
1316,-1
1317,616
1318,219
1319,-1
1320,559
1321,113
1322,444
1323,-1
1324,702
1325,-1
1326,437
1327,578
1328,-1
1329,-1
1330,292
1331,623
1332,-1
1333,-1
1334,-1
1335,455
1336,-1
1337,484
1338,-1
1339,76
1340,-1
1341,120
1342,-1
1343,512
1344,507
1345,316
1346,-1
1347,216
1348,122
1349,-1
1350,228
1351,228
1352,-1
1353,-1
1354,82
1355,-1
1356,590
1357,-1
1358,120
1359,120
1360,-1
1361,729
1362,514
1363,33
1364,-1
1365,-1
1366,-1
1367,87
1368,324
1369,-1
1370,-1
1371,-1
1372,687
1373,153
1374,180
1375,557
1376,507
1377,289
1378,129
1379,121
1380,129
1381,129
1382,423
1383,-1
1384,-1
1385,-1
1386,94
1387,-1
1388,-1
1389,94
1390,94
1391,94
1392,-1
1393,94
1394,186
1395,-1
1396,-1
1397,404
1398,-1
1399,-1
1400,-1
1401,77
1402,78
1403,-1
1404,-1
1405,78
1406,-1
1407,281
1408,-1
1409,-1
1410,-1
1411,-1
1412,86
1413,292
1414,-1
1415,797
1416,-1
1417,-1
1418,-1
1419,527
1420,-1
1421,369
1422,-1
1423,797
1424,-1
1425,-1
1426,-1
1427,522
1428,-1
1429,454
1430,51
1431,-1
1432,-1
1433,647
1434,503
1435,468
1436,-1
1437,59
1438,59
1439,-1
1440,-1
1441,729
1442,362
1443,543
1444,747
1445,747
1446,333
1447,669
1448,669
1449,-1
1450,-1
1451,524
1452,523
1453,681
1454,-1
1455,202
1456,592
1457,657
1458,455
1459,-1
1460,331
1461,-1
1462,-1
1463,-1
1464,-1
1465,113
1466,-1
1467,-1
1468,113
1469,242
1470,55
1471,-1
1472,529
1473,-1
1474,101
1475,-1
1476,128
1477,575
1478,617
1479,292
1480,617
1481,-1
1482,-1
1483,-1
1484,-1
1485,617
1486,175
1487,617
1488,274
1489,619
1490,10
1491,-1
1492,-1
1493,-1
1494,539
1495,-1
1496,33
1497,338
1498,145
1499,-1
1500,465
1501,-1
1502,574
1503,109
1504,458
1505,518
1506,-1
1507,-1
1508,15
1509,175
1510,625
1511,248
1512,248
1513,827
1514,-1
1515,180
1516,303
1517,827
1518,2
1519,144
1520,86
1521,14
1522,471
1523,471
1524,349
1525,214
1526,631
1527,-1
1528,-1
1529,-1
1530,-1
1531,-1
1532,-1
1533,321
1534,-1
1535,-1
1536,-1
1537,504
1538,-1
1539,780
1540,-1
1541,-1
1542,314
1543,314
1544,189
1545,-1
1546,-1
1547,-1
1548,-1
1549,48
1550,-1
1551,420
1552,665
1553,301
1554,578
1555,747
1556,4
1557,588
1558,824
1559,113
1560,222
1561,289
1562,288
1563,-1
1564,120
1565,-1
1566,-1
1567,697
1568,379
1569,724
1570,623
1571,-1
1572,570
1573,758
1574,-1
1575,502
1576,-1
1577,-1
1578,720
1579,-1
1580,554
1581,-1
1582,292
1583,636
1584,-1
1585,-1
1586,623
1587,45
1588,375
1589,-1
1590,-1
1591,446
1592,-1
1593,-1
1594,-1
