,Date,Time,Latitude,Longitude,Depth,Magnitude,Year,Month,Country,Continent,MagGroup,DepthGroup,Tecto-setting,region
859,1968-02-19,0 days 13:55:09,-5.469,153.269,30.0,5.7,1968,2,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
860,1968-02-19,0 days 22:45:45,39.368,24.957,15.0,7.2,1968,2,Greece,Europe,2.0,Shallow,Convergent,African-Eurasian
861,1968-02-20,0 days 02:19:50,12.343,-47.01,10.0,5.8,1968,2,Undefined,Undefined,0.0,Shallow,Divergent,North-American-African
862,1968-02-21,0 days 01:44:54,32.066,130.712,10.0,6.2,1968,2,Japan,Asia,1.0,Shallow,Convergent,Philippine-Eurasian
863,1968-02-21,0 days 08:57:53,-4.04,128.531,35.0,5.6,1968,2,Indonesia,Asia,0.0,Shallow,Convergent,Australian-Eurasian
864,1968-02-24,0 days 01:11:12,-32.637,-177.479,20.0,5.7,1968,2,Undefined,Undefined,0.0,Shallow,Convergent,Australian-Pacific
865,1968-02-25,0 days 20:00:32,37.586,141.65,65.5,5.6,1968,2,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Eurasian
866,1968-02-26,0 days 10:50:19,22.733,121.368,25.0,7.1,1968,2,Taiwan,Asia,2.0,Shallow,Convergent,Philippine-Eurasian
867,1968-02-27,0 days 05:19:04,12.194,140.638,26.3,5.8,1968,2,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Pacific
868,1968-02-27,0 days 10:54:39,12.117,140.757,25.0,5.9,1968,2,Undefined,Undefined,0.0,Shallow,Convergent,Philippine-Pacific
869,1968-02-28,0 days 12:08:02,32.928,137.82,344.1,6.3,1968,2,Undefined,Undefined,1.0,Deep,Convergent,Philippine-Eurasian
870,1968-03-02,0 days 22:02:24,-6.164,71.374,15.0,5.9,1968,3,British Indian Ocean Territory,Asia,0.0,Shallow,Convergent,African-Australian
871,1968-03-03,0 days 22:55:36,1.584,122.452,422.7,5.7,1968,3,Undefined,Undefined,0.0,Deep,Convergent,Philippine-Eurasian
872,1968-03-05,0 days 18:16:38,9.507,126.415,35.0,6.3,1968,3,Undefined,Undefined,1.0,Shallow,Convergent,Philippine-Eurasian
873,1968-03-05,0 days 18:38:05,9.526,126.196,35.0,6.1,1968,3,Philippines,Asia,1.0,Shallow,Convergent,Philippine-Eurasian
